applicant_ref,income,loan_amount,tenure_months,employment_type,credit_history_months,existing_emi,dti_ratio,credit_utilization,num_delinquencies_24m,age_band,defaulted
app_000054,58998.81,13689.2,120,salaried,144,0.0,0.0251,0.3909,0,46-55,0
app_000055,31047.97,17059.94,60,self_employed,135,431.36,0.2854,0.3205,0,46-55,0
app_000056,44077.21,13858.13,36,salaried,63,1094.12,0.4111,0.3474,0,36-45,0
app_000057,44996.3,9656.31,24,salaried,82,984.09,0.3783,0.5149,1,36-45,0
app_000058,131740.05,10389.76,60,salaried,70,951.18,0.1037,0.2399,1,26-35,0
app_000059,58683.44,15609.76,36,unemployed,49,903.41,0.2805,0.3138,0,18-25,0
app_000060,57476.03,18503.71,12,salaried,175,482.72,0.4485,0.884,0,46-55,0
app_000061,37082.1,9105.21,48,salaried,82,245.46,0.1457,0.3365,0,36-45,0
app_000062,28597.28,19787.8,48,salaried,98,400.07,0.3547,0.6083,0,36-45,0
app_000063,77690.68,48492.25,36,salaried,112,816.25,0.3508,0.3004,0,46-55,0
app_000064,51987.04,18472.43,84,salaried,128,0.0,0.0548,0.1902,1,36-45,0
app_000065,23011.56,19222.13,60,salaried,86,467.18,0.4241,0.1353,1,36-45,0
app_000066,46612.62,7166.09,36,self_employed,78,740.76,0.246,0.5093,0,36-45,0
app_000067,57558.8,25391.42,120,self_employed,61,1125.9,0.2824,0.6454,0,26-35,0
app_000068,11467.74,11526.79,36,salaried,0,198.35,0.5694,0.5933,0,18-25,0
app_000069,21865.98,31019.43,36,salaried,112,478.42,0.7733,0.381,1,36-45,0
app_000070,44334.6,48095.32,24,salaried,50,734.05,0.7845,0.5612,1,26-35,0
app_000071,12601.19,10870.01,60,salaried,179,40.78,0.2252,0.2137,0,36-45,0
app_000072,13747.71,11071.75,48,salaried,149,41.29,0.2535,0.4154,0,56-65,0
app_000073,31296.01,22467.73,36,contract,51,275.25,0.364,0.163,0,26-35,0
app_000074,47588.64,7614.48,36,contract,54,245.38,0.1195,0.2042,0,18-25,0
app_000075,48814.42,17318.57,48,salaried,83,0.0,0.0958,0.3873,0,26-35,0
app_000076,86709.59,13717.87,24,contract,91,330.54,0.1312,0.5593,0,26-35,0
app_000077,37996.34,15550.05,48,contract,123,829.09,0.3723,0.2573,0,46-55,0
app_000078,29585.54,5000.0,84,salaried,61,102.87,0.0678,0.4153,0,36-45,0
app_000079,17693.49,22115.46,60,salaried,212,255.39,0.4432,0.4724,0,46-55,0
app_000080,29391.32,71296.88,48,salaried,147,158.66,0.7197,0.5597,1,46-55,0
app_000081,53591.25,12725.88,84,salaried,102,676.96,0.1882,0.4259,0,36-45,0
app_000082,54940.01,6879.96,120,self_employed,156,516.36,0.1263,0.0546,0,46-55,0
app_000083,42004.85,26365.79,60,self_employed,20,253.07,0.2079,0.3372,0,26-35,0
app_000084,49065.59,9690.39,24,salaried,10,771.62,0.2954,0.2953,1,18-25,0
app_000085,73277.65,16618.83,24,salaried,0,596.89,0.2202,0.2178,0,18-25,0
app_000086,37850.5,10659.66,60,self_employed,137,98.36,0.092,0.2256,1,46-55,0
app_000087,77035.79,6922.73,48,salaried,54,891.77,0.1632,0.8836,1,36-45,0
app_000088,24351.39,19661.45,48,contract,80,603.57,0.5154,0.2553,0,26-35,0
app_000089,34880.73,10787.79,48,self_employed,131,220.5,0.1594,0.6741,0,36-45,0
app_000090,27876.57,6252.17,12,salaried,94,323.57,0.3815,0.6428,2,26-35,0
app_000091,56161.56,19445.68,24,self_employed,145,1047.49,0.4108,0.4412,1,46-55,0
app_000092,20785.97,91432.93,36,salaried,101,261.71,1.7346,0.6349,2,36-45,1
app_000093,30425.28,30041.39,48,self_employed,47,4.08,0.2682,0.3974,0,26-35,0
app_000094,13058.28,15943.84,48,salaried,73,28.46,0.3558,0.7254,1,26-35,0
app_000095,50357.7,100696.79,12,self_employed,92,0.0,2.1596,0.3506,1,36-45,1
app_000096,72094.62,5683.2,36,salaried,3,761.23,0.1551,0.3969,0,26-35,0
app_000097,59927.42,23044.22,24,salaried,5,64.33,0.2205,0.2175,0,18-25,0
app_000098,56780.33,48992.84,36,salaried,47,343.03,0.3831,0.239,1,18-25,0
app_000099,57622.61,8857.41,48,unemployed,170,837.3,0.2159,0.5893,0,65+,0
app_000100,53360.8,19553.97,48,contract,133,571.09,0.2274,0.6815,0,56-65,0
app_000101,50915.24,11179.14,60,salaried,126,0.0,0.0474,0.5074,0,46-55,0
app_000102,52754.4,13310.76,24,salaried,0,580.21,0.2682,0.728,1,26-35,0
app_000103,25320.63,20871.46,36,salaried,225,292.13,0.4352,0.1771,0,65+,0
app_000104,32529.21,5660.05,48,self_employed,151,793.52,0.3397,0.1575,0,46-55,0
app_000105,37745.96,8921.39,60,salaried,160,507.04,0.2122,0.2239,1,46-55,0
app_000106,30192.9,16695.37,84,self_employed,102,597.04,0.3226,0.5145,0,36-45,0
app_000107,15344.77,5693.81,48,contract,34,429.0,0.4357,0.444,1,26-35,0
app_000108,18411.76,13083.01,84,unemployed,0,414.53,0.3798,0.6819,1,18-25,1
app_000109,41212.09,6549.1,48,salaried,184,128.03,0.0802,0.1717,0,56-65,0
app_000110,59765.08,6778.36,60,contract,117,632.54,0.1515,0.0418,1,36-45,0
app_000111,36502.57,28364.16,36,salaried,26,1321.1,0.714,0.2197,1,26-35,0
app_000112,166150.96,17318.41,36,contract,22,873.62,0.1006,0.2372,1,26-35,0
app_000113,21897.56,14316.19,60,salaried,95,258.56,0.2829,0.42,0,36-45,0
app_000114,46384.39,12527.05,48,unemployed,64,939.17,0.3159,0.8396,0,26-35,1
app_000115,73877.34,19705.04,48,salaried,196,1162.81,0.2609,0.3917,1,56-65,0
app_000116,65259.21,12248.55,60,self_employed,151,549.32,0.1416,0.1963,0,46-55,0
app_000117,52067.01,10381.86,60,self_employed,129,1065.76,0.2887,0.3943,0,46-55,0
app_000118,65423.69,30569.22,36,unemployed,127,58.99,0.179,0.613,0,36-45,0
app_000119,37438.95,11275.9,24,salaried,85,339.29,0.2714,0.2362,0,36-45,0
app_000120,90634.02,36483.42,12,salaried,86,1474.53,0.63,0.0555,0,36-45,0
app_000121,73551.23,11697.78,60,salaried,157,269.09,0.0783,0.5754,0,46-55,0
app_000122,22726.22,25597.41,48,unemployed,52,529.77,0.5838,0.7863,0,18-25,0
app_000123,43341.35,19032.89,36,self_employed,125,783.71,0.3751,0.2548,1,36-45,0
app_000124,15506.07,22858.78,24,contract,18,358.62,1.0736,0.1973,0,18-25,0
app_000125,83866.7,19417.0,24,salaried,98,2418.57,0.4711,0.734,0,36-45,0
app_000126,41082.08,25038.45,48,self_employed,34,605.17,0.3413,0.6396,1,26-35,0
app_000127,76253.99,39059.97,24,self_employed,86,71.1,0.2878,0.231,0,26-35,0
app_000128,34195.64,9620.44,48,salaried,6,534.33,0.2635,0.3547,0,18-25,0
app_000129,13082.79,39866.32,36,contract,36,196.68,1.2774,0.6101,3,36-45,1
app_000130,154902.65,13647.96,60,salaried,46,3374.33,0.2804,0.107,0,26-35,0
app_000131,39030.5,5502.88,60,salaried,142,234.16,0.1024,0.1698,0,56-65,0
app_000132,20949.82,24595.82,84,self_employed,14,35.86,0.2017,0.2679,0,36-45,0
app_000133,68197.91,26840.74,84,salaried,42,666.77,0.178,0.7395,1,26-35,0
app_000134,111270.73,22059.31,48,self_employed,119,2711.94,0.346,0.2013,1,36-45,0
app_000135,32489.07,13312.98,60,contract,36,476.22,0.2644,0.5168,0,18-25,0
app_000136,34386.41,9290.38,48,unemployed,216,367.84,0.2013,0.3035,0,65+,0
app_000137,41395.42,11877.65,48,salaried,138,484.92,0.218,0.0766,0,36-45,0
app_000138,19711.67,18027.72,48,self_employed,114,250.14,0.3992,0.7971,0,46-55,0
app_000139,24838.07,13835.89,60,contract,0,547.01,0.3846,0.6647,0,18-25,0
app_000140,96766.8,8720.31,84,self_employed,110,1385.42,0.1857,0.3604,0,36-45,0
app_000141,33768.59,13964.66,36,salaried,106,944.18,0.4844,0.7758,0,36-45,0
app_000142,22910.34,9907.36,24,self_employed,130,288.68,0.3847,0.5532,0,56-65,0
app_000143,28321.51,10904.38,36,salaried,90,344.75,0.2847,0.4836,0,36-45,0
app_000144,65516.22,25254.92,60,salaried,112,1312.95,0.3237,0.4065,0,36-45,0
app_000145,12249.7,7997.37,48,salaried,68,157.29,0.3304,0.44,0,26-35,0
app_000146,41775.17,19877.01,48,salaried,81,1406.91,0.5326,0.4796,0,26-35,0
app_000147,140676.8,11794.68,60,contract,75,1042.87,0.1071,0.4865,0,36-45,0
app_000148,110977.69,19188.88,36,salaried,53,1121.41,0.1835,0.9152,0,36-45,0
app_000149,49774.67,9362.58,60,contract,0,0.0,0.0406,0.4931,1,18-25,0
app_000150,74910.06,14288.33,24,self_employed,193,1748.73,0.3831,0.0669,0,56-65,0
app_000151,74514.91,9734.75,48,salaried,199,2103.41,0.374,0.5781,1,56-65,0
app_000152,33886.82,19418.95,24,salaried,54,527.65,0.4963,0.4956,0,26-35,0
app_000153,60393.49,5445.48,36,salaried,141,1503.66,0.3312,0.2471,0,36-45,0
app_000154,97121.75,15381.95,48,self_employed,19,52.95,0.0493,0.6195,0,18-25,0
app_000155,18122.88,7366.31,120,salaried,116,351.58,0.2767,0.385,0,46-55,0
app_000156,49869.16,10975.29,36,contract,17,870.37,0.2887,0.2554,0,26-35,0
app_000157,44303.17,13272.93,48,unemployed,129,1295.88,0.4319,0.143,1,46-55,0
app_000158,38435.64,24920.46,84,salaried,163,697.16,0.3177,0.5758,1,46-55,0
app_000159,36608.96,5887.04,36,salaried,170,656.77,0.2732,0.2717,0,46-55,0
app_000160,41250.5,5270.82,84,contract,56,416.84,0.141,0.6306,1,18-25,0
app_000161,43198.66,31750.65,60,unemployed,182,903.68,0.4098,0.5339,0,56-65,0
app_000162,67187.23,13166.68,36,unemployed,107,111.19,0.0904,0.3533,0,26-35,0
app_000163,47196.88,5690.19,48,unemployed,0,451.96,0.1475,0.6646,0,18-25,0
app_000164,32930.94,12578.62,60,salaried,131,351.17,0.2105,0.2288,0,36-45,0
app_000165,22880.57,12153.97,48,unemployed,68,0.0,0.1434,0.1878,0,26-35,0
app_000166,28005.51,11440.65,60,salaried,174,501.42,0.3031,0.2313,0,56-65,0
app_000167,41925.16,18529.98,36,salaried,89,0.0,0.1591,0.4258,0,46-55,0
app_000168,24628.54,5840.45,36,contract,70,545.37,0.3511,0.5075,0,26-35,0
app_000169,61097.88,16558.48,60,unemployed,238,261.19,0.1098,0.3217,1,65+,0
app_000170,46006.15,12176.86,36,contract,0,551.83,0.2392,0.2273,0,26-35,0
app_000171,68114.14,15507.03,60,self_employed,119,1318.63,0.2815,0.5936,0,36-45,0
app_000172,25556.56,27474.62,120,contract,0,785.31,0.4848,0.3796,0,26-35,0
app_000173,22992.26,29443.23,120,salaried,125,189.87,0.2374,0.0767,0,56-65,0
app_000174,67834.86,41610.86,48,salaried,57,485.44,0.2515,0.689,0,26-35,0
app_000175,39006.15,5109.94,48,contract,71,848.64,0.2965,0.0852,0,18-25,0
app_000176,32487.66,19897.16,36,salaried,92,475.22,0.396,0.4753,0,36-45,0
app_000177,53330.48,25495.97,48,salaried,218,947.77,0.3423,0.6428,0,65+,0
app_000178,52250.1,11269.45,60,salaried,140,833.8,0.2381,0.4024,0,56-65,0
app_000179,18202.79,15749.45,24,contract,126,223.48,0.6145,0.567,0,46-55,1
app_000180,77773.41,35552.21,24,unemployed,166,853.27,0.3785,0.8722,1,56-65,1
app_000181,28977.54,14130.36,36,contract,216,774.87,0.4964,0.1935,1,56-65,0
app_000182,92504.26,34826.67,48,self_employed,73,162.34,0.1227,0.5719,0,36-45,0
app_000183,17440.46,15485.53,12,contract,40,12.47,0.9675,0.824,1,26-35,1
app_000184,43242.08,21016.59,36,salaried,164,213.68,0.2343,0.3593,1,46-55,0
app_000185,32790.97,27834.73,24,salaried,124,888.76,0.7836,0.5363,1,46-55,1
app_000186,12254.16,8300.06,120,self_employed,63,366.06,0.4316,0.0297,0,26-35,0
app_000187,52157.04,20662.65,48,unemployed,37,1065.56,0.3521,0.3771,0,18-25,1
app_000188,12604.82,11973.32,48,salaried,112,0.0,0.2565,0.2707,2,46-55,0
app_000189,30933.14,33156.3,12,unemployed,0,567.81,1.3779,0.286,1,26-35,1
app_000190,66659.41,13319.27,24,contract,200,808.43,0.2534,0.1587,0,56-65,0
app_000191,27132.3,13213.51,36,salaried,63,135.45,0.2352,0.6225,2,26-35,0
app_000192,22091.46,9719.47,24,salaried,21,551.04,0.5369,0.4311,1,26-35,0
app_000193,56398.4,15651.45,24,salaried,191,1386.06,0.4448,0.4612,2,56-65,0
app_000194,31658.6,22438.7,36,self_employed,120,238.04,0.3454,0.1052,2,26-35,0
app_000195,29062.88,16893.45,84,salaried,95,620.57,0.3459,0.4796,1,26-35,0
app_000196,73221.61,61202.31,84,self_employed,158,588.13,0.2253,0.3669,0,36-45,0
app_000197,19110.57,12425.16,48,self_employed,131,260.57,0.3392,0.4936,0,56-65,0
app_000198,28203.91,9648.96,48,contract,67,45.18,0.1116,0.1825,0,26-35,0
app_000199,58486.19,15067.8,36,salaried,70,376.85,0.1701,0.5414,0,26-35,0
app_000200,18442.79,20020.17,120,contract,128,16.72,0.1281,0.5489,0,46-55,0
app_000201,96417.3,7587.78,36,unemployed,194,879.27,0.1378,0.4458,0,65+,0
app_000202,32232.61,35797.17,36,self_employed,7,0.0,0.3998,0.5467,0,36-45,0
app_000203,58746.69,13988.96,48,salaried,110,2074.71,0.4881,0.7352,1,26-35,0
app_000204,58679.13,45143.5,60,unemployed,0,469.37,0.2622,0.8481,1,18-25,1
app_000205,33397.68,36327.42,12,contract,87,525.09,1.3634,0.6012,1,26-35,1
app_000206,27904.5,24260.66,36,contract,60,485.46,0.5218,0.6446,0,26-35,0
app_000207,35467.41,16106.01,24,salaried,131,0.0,0.2452,0.3418,0,46-55,0
app_000208,53743.41,8892.79,24,contract,53,921.1,0.295,0.4811,1,26-35,0
app_000209,21109.24,11175.23,60,salaried,101,143.4,0.1959,0.0352,0,36-45,0
app_000210,18736.11,8555.77,48,salaried,151,273.28,0.2983,0.3093,0,46-55,0
app_000211,82150.77,8338.94,60,self_employed,124,1013.82,0.17,0.0949,0,36-45,0
app_000212,24241.7,19386.97,36,salaried,56,248.97,0.4112,0.3883,0,26-35,0
app_000213,44123.43,19842.22,120,salaried,95,277.02,0.1239,0.6257,1,46-55,0
app_000214,32493.25,6413.93,84,salaried,94,760.72,0.3114,0.6775,1,46-55,0
app_000215,33295.38,12174.66,36,salaried,163,830.92,0.4311,0.6791,0,46-55,0
app_000216,79754.97,10036.6,24,self_employed,51,1425.36,0.2824,0.299,0,26-35,0
app_000217,34653.6,39114.85,36,salaried,29,549.09,0.5965,0.1164,0,26-35,0
app_000218,29844.2,5000.0,48,salaried,145,150.08,0.1056,0.3296,0,56-65,0
app_000219,31308.86,51584.83,60,self_employed,57,520.3,0.5553,0.4829,0,26-35,0
app_000220,27531.82,23114.85,24,unemployed,21,254.14,0.5641,0.2264,0,26-35,1
app_000221,25120.77,5000.0,84,salaried,95,0.0,0.0307,0.1765,1,36-45,0
app_000222,27592.64,11106.44,36,salaried,169,229.72,0.2448,0.7886,2,46-55,0
app_000223,90650.39,21329.48,84,unemployed,200,1021.21,0.1715,0.6392,0,65+,0
app_000224,53708.09,10845.15,48,unemployed,6,1107.67,0.302,0.6133,0,26-35,1
app_000225,30035.7,13851.06,48,contract,194,429.5,0.2961,0.4623,0,56-65,0
app_000226,62312.08,63917.79,24,contract,57,716.68,0.6919,0.1594,0,18-25,0
app_000227,15169.52,12660.87,48,salaried,130,177.21,0.3655,0.3905,1,36-45,0
app_000228,77390.79,8526.14,48,self_employed,97,1585.78,0.2756,0.6906,2,36-45,0
app_000229,74038.14,28269.8,48,unemployed,93,312.08,0.1537,0.4021,1,18-25,0
app_000230,124241.65,7033.65,84,unemployed,82,1711.77,0.1741,0.6853,0,26-35,0
app_000231,63345.13,24873.08,36,salaried,185,1402.27,0.407,0.2873,1,36-45,0
app_000232,46188.17,23167.33,60,self_employed,244,625.15,0.2708,0.0433,0,65+,0
app_000233,73874.81,48806.85,48,contract,131,818.81,0.3114,0.603,1,36-45,1
app_000234,25740.09,20926.78,120,unemployed,149,283.81,0.2201,0.5613,1,56-65,0
app_000235,29217.44,14180.0,36,self_employed,103,0.0,0.1747,0.2957,0,46-55,0
app_000236,35054.71,16034.19,84,salaried,99,495.49,0.2402,0.1374,0,36-45,0
app_000237,77102.03,58858.85,36,self_employed,126,173.87,0.3019,0.4239,1,46-55,0
app_000238,22680.64,16944.99,60,contract,7,302.6,0.3215,0.7465,0,18-25,0
app_000239,21394.01,14353.49,60,self_employed,20,166.07,0.2381,0.4886,1,18-25,0
app_000240,41361.09,15691.33,48,salaried,162,1197.39,0.4498,0.4156,0,56-65,0
app_000241,53886.85,21707.93,36,salaried,112,537.47,0.2647,0.2548,0,46-55,0
app_000242,24669.07,13017.75,120,salaried,79,0.0,0.057,0.0895,0,26-35,0
app_000243,52508.48,8777.29,60,salaried,73,627.4,0.1795,0.2235,2,36-45,0
app_000244,77081.58,10907.26,60,salaried,94,65.79,0.0408,0.4039,0,36-45,0
app_000245,70280.8,9595.05,60,salaried,131,1123.86,0.2214,0.5266,1,56-65,0
app_000246,44104.23,14882.05,36,salaried,99,884.54,0.3621,0.6425,0,36-45,0
app_000247,34550.29,11290.91,24,unemployed,102,157.17,0.2311,0.2999,1,36-45,0
app_000248,94333.63,14652.57,24,contract,31,1433.99,0.2663,0.2608,0,26-35,0
app_000249,36624.48,14899.72,48,salaried,98,533.99,0.2848,0.0771,0,36-45,0
app_000250,60912.58,19110.75,48,self_employed,129,230.86,0.1302,0.0424,0,46-55,0
app_000251,106623.03,9155.73,36,salaried,154,900.47,0.1323,0.6432,1,56-65,0
app_000252,57491.79,45330.12,24,salaried,82,1389.58,0.7158,0.6402,1,36-45,0
app_000253,20985.77,34448.96,36,salaried,73,233.22,0.7243,0.3748,2,26-35,1
app_000254,18371.16,22554.99,36,unemployed,60,179.0,0.5589,0.294,1,26-35,1
app_000255,30831.86,25379.55,48,salaried,160,428.27,0.3889,0.3911,1,46-55,0
app_000256,53649.34,8255.44,48,contract,100,532.1,0.1606,0.3133,0,46-55,0
app_000257,46380.4,11495.31,60,contract,18,519.03,0.1878,0.3829,0,18-25,0
app_000258,122258.77,12285.42,60,self_employed,5,2009.77,0.219,0.1549,1,18-25,0
app_000259,46132.87,6956.3,60,contract,97,638.46,0.1986,0.295,0,36-45,0
app_000260,30330.45,13006.18,24,salaried,68,1052.02,0.6478,0.2052,0,26-35,0
app_000261,19470.62,63781.63,48,contract,132,510.03,1.1988,0.4015,1,56-65,1
app_000262,69511.02,17396.68,84,contract,77,901.55,0.1943,0.4287,0,26-35,0
app_000263,36194.64,40890.82,120,salaried,124,541.64,0.3016,0.1733,1,26-35,0
app_000264,15861.07,39270.86,12,salaried,173,54.82,2.7155,0.4645,3,56-65,1
app_000265,36762.86,9263.99,36,contract,33,273.95,0.1801,0.6825,0,26-35,0
app_000266,21001.39,16676.7,36,salaried,51,260.98,0.435,0.7839,0,26-35,0
app_000267,28735.81,12860.28,24,unemployed,50,608.46,0.4958,0.3418,0,26-35,0
app_000268,36439.39,28541.35,60,salaried,3,566.28,0.3557,0.27,2,18-25,0
app_000269,22073.92,21637.28,36,self_employed,45,322.39,0.5281,0.5603,0,18-25,0
app_000270,27772.64,44331.82,60,self_employed,0,263.21,0.4585,0.2424,1,18-25,0
app_000271,24118.49,18467.39,60,salaried,68,51.96,0.1912,0.1188,0,26-35,0
app_000272,24477.04,26791.84,36,unemployed,62,166.03,0.4754,0.2863,1,18-25,0
app_000273,20860.0,11091.11,24,salaried,132,165.84,0.3825,0.2045,1,36-45,0
app_000274,27846.97,6772.46,24,self_employed,162,486.29,0.3409,0.3119,0,46-55,0
app_000275,22201.52,24407.47,36,salaried,40,565.26,0.7013,0.6611,0,26-35,0
app_000276,50142.35,17836.88,36,salaried,103,271.08,0.1929,0.2326,0,26-35,0
app_000277,40556.04,22746.97,24,salaried,106,557.39,0.4678,0.8991,1,36-45,0
app_000278,70059.02,38149.99,48,self_employed,210,1899.79,0.4724,0.6803,1,56-65,0
app_000279,102507.05,19968.7,60,self_employed,200,1135.53,0.175,0.0906,0,56-65,0
app_000280,52708.33,26841.92,36,salaried,33,1041.41,0.4204,0.5726,1,18-25,0
app_000281,46503.04,30122.14,24,unemployed,52,70.1,0.3679,0.418,0,26-35,0
app_000282,54567.05,14935.91,84,salaried,130,1610.74,0.3965,0.1173,0,26-35,0
app_000283,46939.92,11386.01,36,contract,6,332.59,0.1723,0.1799,1,26-35,0
app_000284,37332.13,53480.1,36,salaried,90,218.08,0.5858,0.5082,2,36-45,0
app_000285,35734.46,20570.25,24,self_employed,53,982.83,0.6409,0.446,0,36-45,0
app_000286,20703.99,19385.69,48,salaried,27,421.37,0.497,0.5561,1,18-25,0
app_000287,57607.37,9046.01,60,salaried,70,333.42,0.1034,0.348,0,26-35,0
app_000288,35695.78,18926.35,36,contract,76,580.75,0.3861,0.5058,0,36-45,0
app_000289,80598.51,19799.37,36,contract,6,1395.61,0.2962,0.232,0,18-25,0
app_000290,60073.54,9303.91,120,salaried,128,156.69,0.048,0.3933,0,56-65,0
app_000291,25738.07,25418.9,48,contract,37,88.44,0.3079,0.2233,0,18-25,0
app_000292,72090.68,13998.17,60,salaried,154,1477.94,0.288,0.1211,1,56-65,0
app_000293,8880.31,5000.0,36,salaried,36,159.97,0.4189,0.9028,0,18-25,1
app_000294,104990.4,11917.05,36,contract,152,324.14,0.0779,0.3953,1,56-65,0
app_000295,17393.56,29174.8,24,unemployed,175,202.58,1.0455,0.5144,0,56-65,1
app_000296,47682.12,9521.2,36,salaried,226,887.27,0.2952,0.4794,0,65+,0
app_000297,45939.42,69635.63,48,self_employed,146,634.91,0.5751,0.7042,1,46-55,0
app_000298,67376.01,21734.36,36,contract,138,668.06,0.2351,0.3187,1,46-55,0
app_000299,30309.51,62432.0,36,self_employed,128,187.43,0.8157,0.5483,0,46-55,0
app_000300,11158.59,8422.51,48,salaried,146,187.26,0.4052,0.3279,0,46-55,0
app_000301,30333.0,7894.83,60,salaried,41,359.31,0.1984,0.0656,0,26-35,0
app_000302,32191.6,14135.74,120,salaried,90,373.2,0.1865,0.1423,0,36-45,0
app_000303,11765.71,7623.71,24,salaried,106,157.86,0.5109,0.1516,0,36-45,0
app_000304,37233.14,12409.7,36,self_employed,214,747.73,0.361,0.0916,0,56-65,0
app_000305,20096.11,42309.5,36,salaried,77,0.0,0.7579,0.1739,1,36-45,1
app_000306,51895.99,13565.14,36,salaried,33,428.69,0.1932,0.6353,0,26-35,0
